Company,Year,Computed ROCE,Source ROCE,Difference,Category
Jindal Steel & Power Ltd,Mar 2022,35.85,13.2,22.65,Data source issue
Jindal Steel & Power Ltd,Mar 2023,24.41,13.2,11.21,Version difference
Jindal Steel & Power Ltd,Mar 2024,21.43,13.2,8.23,Formula discrepancy
JSW Energy Ltd,Mar 2013,20.89,8.59,12.3,Version difference
JSW Energy Ltd,Mar 2014,24.37,8.59,15.78,Version difference
JSW Energy Ltd,Mar 2015,26.26,8.59,17.67,Version difference
JSW Energy Ltd,Mar 2016,19.88,8.59,11.29,Version difference
JSW Energy Ltd,Mar 2017,17.37,8.59,8.78,Formula discrepancy
JSW Energy Ltd,Mar 2018,16.0,8.59,7.41,Formula discrepancy
JSW Energy Ltd,Mar 2019,17.96,8.59,9.37,Formula discrepancy
JSW Energy Ltd,Mar 2020,21.85,8.59,13.26,Version difference
JSW Energy Ltd,Mar 2021,17.83,8.59,9.24,Formula discrepancy
JSW Energy Ltd,Mar 2022,17.84,8.59,9.25,Formula discrepancy
JSW Steel Ltd,Mar 2013,22.61,13.36,9.25,Formula discrepancy
JSW Steel Ltd,Mar 2014,21.78,13.36,8.42,Formula discrepancy
JSW Steel Ltd,Mar 2015,20.97,13.36,7.61,Formula discrepancy
JSW Steel Ltd,Mar 2017,23.85,13.36,10.49,Version difference
JSW Steel Ltd,Mar 2018,27.16,13.36,13.8,Version difference
JSW Steel Ltd,Mar 2019,27.95,13.36,14.59,Version difference
JSW Steel Ltd,Mar 2021,22.77,13.36,9.41,Formula discrepancy
JSW Steel Ltd,Mar 2022,32.33,13.36,18.97,Version difference
JSW Steel Ltd,Mar 2024,21.93,13.36,8.57,Formula discrepancy
Life Insurance Corporation of India,Mar 2019,2.32,63.79,61.47,Data source issue
Life Insurance Corporation of India,Mar 2020,-2.58,63.79,66.37,Data source issue
Life Insurance Corporation of India,Mar 2021,2.4,63.79,61.39,Data source issue
Life Insurance Corporation of India,Mar 2022,33.18,63.79,30.61,Data source issue
Life Insurance Corporation of India,Mar 2023,75.0,63.79,11.21,Version difference
Life Insurance Corporation of India,Mar 2024,40.18,63.79,23.61,Data source issue
Larsen & Toubro Ltd,Mar 2013,828.42,17.18,811.24,Data source issue
Larsen & Toubro Ltd,Mar 2014,903.02,17.18,885.84,Data source issue
Larsen & Toubro Ltd,Mar 2015,815.82,17.18,798.64,Data source issue
Larsen & Toubro Ltd,Mar 2016,792.34,17.18,775.16,Data source issue
Larsen & Toubro Ltd,Mar 2017,604.01,17.18,586.83,Data source issue
Larsen & Toubro Ltd,Mar 2018,578.6,17.18,561.42,Data source issue
Larsen & Toubro Ltd,Mar 2019,506.62,17.18,489.44,Data source issue
Larsen & Toubro Ltd,Mar 2020,427.72,17.18,410.54,Data source issue
Larsen & Toubro Ltd,Mar 2021,325.4,17.18,308.22,Data source issue
Larsen & Toubro Ltd,Mar 2022,187.42,17.18,170.24,Data source issue
Larsen & Toubro Ltd,Mar 2023,169.13,17.18,151.95,Data source issue
Larsen & Toubro Ltd,Mar 2024,151.87,17.18,134.69,Data source issue
LTIMindtree Ltd,Mar 2013,63.13,34.1,29.03,Data source issue
LTIMindtree Ltd,Mar 2014,74.24,34.1,40.14,Data source issue
LTIMindtree Ltd,Mar 2015,51.83,34.1,17.73,Version difference
LTIMindtree Ltd,Mar 2016,55.14,34.1,21.04,Data source issue
LTIMindtree Ltd,Mar 2017,44.78,34.1,10.68,Version difference
LTIMindtree Ltd,Mar 2019,41.49,34.1,7.39,Formula discrepancy
LTIMindtree Ltd,Mar 2022,40.19,34.1,6.09,Formula discrepancy
"Mahindra & Mahindra Ltd
",Mar 2014,21.1,26.98,5.88,Formula discrepancy
"Mahindra & Mahindra Ltd
",Mar 2015,17.12,26.98,9.86,Formula discrepancy
"Mahindra & Mahindra Ltd
",Mar 2016,18.41,26.98,8.57,Formula discrepancy
"Mahindra & Mahindra Ltd
",Mar 2017,17.25,26.98,9.73,Formula discrepancy
"Mahindra & Mahindra Ltd
",Mar 2018,17.81,26.98,9.17,Formula discrepancy
"Mahindra & Mahindra Ltd
",Mar 2019,17.32,26.98,9.66,Formula discrepancy
"Mahindra & Mahindra Ltd
",Mar 2020,11.08,26.98,15.9,Version difference
"Mahindra & Mahindra Ltd
",Mar 2021,12.16,26.98,14.82,Version difference
"Mahindra & Mahindra Ltd
",Mar 2022,14.58,26.98,12.4,Version difference
"Mahindra & Mahindra Ltd
",Mar 2023,16.58,26.98,10.4,Version difference
"Mahindra & Mahindra Ltd
",Mar 2024,16.94,26.98,10.04,Version difference
Maruti Suzuki India Ltd,Mar 2013,30.35,23.67,6.68,Formula discrepancy
Maruti Suzuki India Ltd,Mar 2014,31.6,23.67,7.93,Formula discrepancy
Maruti Suzuki India Ltd,Mar 2015,37.65,23.67,13.98,Version difference
Maruti Suzuki India Ltd,Mar 2016,38.4,23.67,14.73,Version difference
Maruti Suzuki India Ltd,Mar 2017,34.68,23.67,11.01,Version difference
Maruti Suzuki India Ltd,Mar 2018,34.86,23.67,11.19,Version difference
Maruti Suzuki India Ltd,Mar 2019,29.79,23.67,6.12,Formula discrepancy
Maruti Suzuki India Ltd,Mar 2021,15.92,23.67,7.75,Formula discrepancy
Maruti Suzuki India Ltd,Mar 2022,15.32,23.67,8.35,Formula discrepancy
Samvardhana Motherson International Ltd,Mar 2013,30.5,13.7,16.8,Version difference
Samvardhana Motherson International Ltd,Mar 2014,41.21,13.7,27.51,Data source issue
Samvardhana Motherson International Ltd,Mar 2015,44.53,13.7,30.83,Data source issue
Samvardhana Motherson International Ltd,Mar 2016,44.29,13.7,30.59,Data source issue
Samvardhana Motherson International Ltd,Mar 2017,28.09,13.7,14.39,Version difference
Samvardhana Motherson International Ltd,Mar 2018,33.09,13.7,19.39,Version difference
Samvardhana Motherson International Ltd,Mar 2019,32.92,13.7,19.22,Version difference
Samvardhana Motherson International Ltd,Mar 2020,30.23,13.7,16.53,Version difference
Samvardhana Motherson International Ltd,Mar 2021,29.79,13.7,16.09,Version difference
Samvardhana Motherson International Ltd,Mar 2022,22.1,13.7,8.4,Formula discrepancy
Samvardhana Motherson International Ltd,Mar 2023,25.9,13.7,12.2,Version difference
Samvardhana Motherson International Ltd,Mar 2024,28.5,13.7,14.8,Version difference
Info Edge (India) Ltd,Mar 2013,21.84,3.65,18.19,Version difference
Info Edge (India) Ltd,Mar 2014,17.53,3.65,13.88,Version difference
Info Edge (India) Ltd,Mar 2018,12.17,3.65,8.52,Formula discrepancy
Info Edge (India) Ltd,Mar 2020,-13.29,3.65,16.94,Version difference
Nestle India Ltd,Dec 2013,64.04,185.43,121.39,Data source issue
Nestle India Ltd,Dec 2014,83.2,185.43,102.23,Data source issue
Nestle India Ltd,Dec 2015,67.09,185.43,118.34,Data source issue
Nestle India Ltd,Dec 2016,66.49,185.43,118.94,Data source issue
Nestle India Ltd,Dec 2017,70.59,185.43,114.84,Data source issue
Nestle India Ltd,Dec 2018,79.67,185.43,105.76,Data source issue
Nestle India Ltd,Dec 2019,156.43,185.43,29.0,Data source issue
Nestle India Ltd,Dec 2020,164.91,185.43,20.52,Data source issue
Nestle India Ltd,Dec 2021,178.71,185.43,6.72,Formula discrepancy
Nestle India Ltd,Dec 2022,150.51,185.43,34.92,Data source issue
Nestle India Ltd,Dec 2023,179.49,185.43,5.94,Formula discrepancy
Nestle India Ltd,Mar 2024,172.35,185.43,13.08,Version difference
"NHPC Ltd
",Mar 2015,13.34,7.67,5.67,Formula discrepancy
"NHPC Ltd
",Mar 2017,13.15,7.67,5.48,Formula discrepancy
"NHPC Ltd
",Mar 2019,13.31,7.67,5.64,Formula discrepancy
"NHPC Ltd
",Mar 2020,12.93,7.67,5.26,Formula discrepancy
NTPC Ltd,Mar 2022,15.65,10.58,5.07,Formula discrepancy
NTPC Ltd,Mar 2023,16.86,10.58,6.28,Formula discrepancy
NTPC Ltd,Mar 2024,17.01,10.58,6.43,Formula discrepancy
Oil & Natural Gas Corpn Ltd,Mar 2013,31.91,19.71,12.2,Version difference
Oil & Natural Gas Corpn Ltd,Mar 2014,29.55,19.71,9.84,Formula discrepancy
Oil & Natural Gas Corpn Ltd,Mar 2015,25.74,19.71,6.03,Formula discrepancy
Oil & Natural Gas Corpn Ltd,Mar 2017,26.57,19.71,6.86,Formula discrepancy
Oil & Natural Gas Corpn Ltd,Mar 2018,25.76,19.71,6.05,Formula discrepancy
Oil & Natural Gas Corpn Ltd,Mar 2019,30.35,19.71,10.64,Version difference
Oil & Natural Gas Corpn Ltd,Mar 2022,27.98,19.71,8.27,Formula discrepancy
Oil & Natural Gas Corpn Ltd,Mar 2024,26.84,19.71,7.13,Formula discrepancy
Power Finance Corporation Ltd,Mar 2013,3.67,9.96,6.29,Formula discrepancy
Power Finance Corporation Ltd,Mar 2014,4.08,9.96,5.88,Formula discrepancy
Power Finance Corporation Ltd,Mar 2015,3.83,9.96,6.13,Formula discrepancy
Power Finance Corporation Ltd,Mar 2016,3.88,9.96,6.08,Formula discrepancy
Power Finance Corporation Ltd,Mar 2017,2.22,9.96,7.74,Formula discrepancy
Power Finance Corporation Ltd,Mar 2018,2.45,9.96,7.51,Formula discrepancy
Power Finance Corporation Ltd,Mar 2019,3.03,9.96,6.93,Formula discrepancy
Power Finance Corporation Ltd,Mar 2020,2.17,9.96,7.79,Formula discrepancy
Power Finance Corporation Ltd,Mar 2021,2.76,9.96,7.2,Formula discrepancy
Power Finance Corporation Ltd,Mar 2022,3.19,9.96,6.77,Formula discrepancy
Power Finance Corporation Ltd,Mar 2023,3.18,9.96,6.78,Formula discrepancy
Power Finance Corporation Ltd,Mar 2024,3.49,9.96,6.47,Formula discrepancy
Pidilite Industries Ltd,Mar 2013,35.58,29.7,5.88,Formula discrepancy
Pidilite Industries Ltd,Mar 2014,37.69,29.7,7.99,Formula discrepancy
Pidilite Industries Ltd,Mar 2015,38.19,29.7,8.49,Formula discrepancy
Pidilite Industries Ltd,Mar 2016,46.84,29.7,17.14,Version difference
Pidilite Industries Ltd,Mar 2017,38.58,29.7,8.88,Formula discrepancy
Pidilite Industries Ltd,Mar 2018,39.5,29.7,9.8,Formula discrepancy
Pidilite Industries Ltd,Mar 2019,35.3,29.7,5.6,Formula discrepancy
Pidilite Industries Ltd,Mar 2020,36.8,29.7,7.1,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2018,18.93,13.2,5.73,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2018,18.93,13.2,5.73,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2019,18.23,13.2,5.03,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2019,18.23,13.2,5.03,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2020,20.89,13.2,7.69,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2020,20.89,13.2,7.69,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2021,22.02,13.2,8.82,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2021,22.02,13.2,8.82,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2022,23.09,13.2,9.89,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2022,23.09,13.2,9.89,Formula discrepancy
Power Grid Corporation of India Ltd,Mar 2023,25.0,13.2,11.8,Version difference
Power Grid Corporation of India Ltd,Mar 2023,25.0,13.2,11.8,Version difference
Power Grid Corporation of India Ltd,Mar 2024,25.12,13.2,11.92,Version difference
Power Grid Corporation of India Ltd,Mar 2024,25.12,13.2,11.92,Version difference
"Reliance Industries Ltd
",Mar 2013,15.34,9.61,5.73,Formula discrepancy
"Reliance Industries Ltd
",Mar 2018,15.19,9.61,5.58,Formula discrepancy
"Reliance Industries Ltd
",Mar 2019,15.14,9.61,5.53,Formula discrepancy
"Reliance Industries Ltd
",Mar 2023,15.64,9.61,6.03,Formula discrepancy
"Reliance Industries Ltd
",Mar 2024,17.03,9.61,7.42,Formula discrepancy
SBI Life Insurance Company Ltd,Mar 2015,20.41,13.2,7.21,Formula discrepancy
SBI Life Insurance Company Ltd,Mar 2016,20.22,13.2,7.02,Formula discrepancy
SBI Life Insurance Company Ltd,Mar 2017,20.1,13.2,6.9,Formula discrepancy
SBI Life Insurance Company Ltd,Mar 2018,21.31,13.2,8.11,Formula discrepancy
SBI Life Insurance Company Ltd,Mar 2019,20.67,13.2,7.47,Formula discrepancy
SBI Life Insurance Company Ltd,Mar 2022,6.93,13.2,6.27,Formula discrepancy
SBI Life Insurance Company Ltd,Mar 2023,1.46,13.2,11.74,Version difference
SBI Life Insurance Company Ltd,Mar 2024,2.16,13.2,11.04,Version difference
Shree Cement Ltd,Jun 2013,38.91,14.8,24.11,Data source issue
Shree Cement Ltd,Jun 2014,32.82,14.8,18.02,Version difference
Shree Cement Ltd,Jun 2015,36.64,14.8,21.84,Data source issue
Shree Cement Ltd,Mar 2017,41.46,14.8,26.66,Data source issue
Shree Cement Ltd,Mar 2018,27.41,14.8,12.61,Version difference
Shree Cement Ltd,Mar 2019,34.22,14.8,19.42,Version difference
Shree Cement Ltd,Mar 2020,34.2,14.8,19.4,Version difference
Shree Cement Ltd,Mar 2021,30.37,14.8,15.57,Version difference
Shree Cement Ltd,Mar 2022,24.79,14.8,9.99,Formula discrepancy
Shree Cement Ltd,Mar 2023,21.63,14.8,6.83,Formula discrepancy
Shree Cement Ltd,Mar 2024,28.69,14.8,13.89,Version difference
"Shriram Finance Ltd
",Mar 2013,5.41,11.3,5.89,Formula discrepancy
"Shriram Finance Ltd
",Mar 2014,4.31,11.3,6.99,Formula discrepancy
"Shriram Finance Ltd
",Mar 2015,3.1,11.3,8.2,Formula discrepancy
"Shriram Finance Ltd
",Mar 2016,3.11,11.3,8.19,Formula discrepancy
"Shriram Finance Ltd
",Mar 2017,3.12,11.3,8.18,Formula discrepancy
"Shriram Finance Ltd
",Mar 2018,4.01,11.3,7.29,Formula discrepancy
"Shriram Finance Ltd
",Mar 2019,3.7,11.3,7.6,Formula discrepancy
"Shriram Finance Ltd
",Mar 2020,3.28,11.3,8.02,Formula discrepancy
"Shriram Finance Ltd
",Mar 2021,2.76,11.3,8.54,Formula discrepancy
"Shriram Finance Ltd
",Mar 2022,2.7,11.3,8.6,Formula discrepancy
"Shriram Finance Ltd
",Mar 2023,4.53,11.3,6.77,Formula discrepancy
"Shriram Finance Ltd
",Mar 2024,4.55,11.3,6.75,Formula discrepancy
Siemens Ltd,Sep 2011,34.72,25.6,9.12,Formula discrepancy
Siemens Ltd,Sep 2014,7.95,25.6,17.65,Version difference
Siemens Ltd,Sep 2016,18.29,25.6,7.31,Formula discrepancy
Siemens Ltd,Sep 2017,16.31,25.6,9.29,Formula discrepancy
Siemens Ltd,Sep 2018,18.38,25.6,7.22,Formula discrepancy
Siemens Ltd,Sep 2019,18.67,25.6,6.93,Formula discrepancy
Siemens Ltd,Sep 2020,13.22,25.6,12.38,Version difference
Siemens Ltd,Sep 2021,16.9,25.6,8.7,Formula discrepancy
Siemens Ltd,Sep 2022,18.46,25.6,7.14,Formula discrepancy
Sun Pharmaceuticals Industries Ltd,Mar 2013,33.57,17.3,16.27,Version difference
Sun Pharmaceuticals Industries Ltd,Mar 2014,35.15,17.3,17.85,Version difference
Sun Pharmaceuticals Industries Ltd,Mar 2015,26.24,17.3,8.94,Formula discrepancy
Sun Pharmaceuticals Industries Ltd,Mar 2017,24.46,17.3,7.16,Formula discrepancy
Sun Pharmaceuticals Industries Ltd,Mar 2022,25.16,17.3,7.86,Formula discrepancy
Sun Pharmaceuticals Industries Ltd,Mar 2023,22.55,17.3,5.25,Formula discrepancy
Sun Pharmaceuticals Industries Ltd,Mar 2024,23.27,17.3,5.97,Formula discrepancy
Tata Motors Ltd,Mar 2013,35.24,20.1,15.14,Version difference
Tata Motors Ltd,Mar 2014,36.38,20.1,16.28,Version difference
Tata Motors Ltd,Mar 2015,40.52,20.1,20.42,Data source issue
Tata Motors Ltd,Mar 2016,37.16,20.1,17.06,Version difference
Tata Motors Ltd,Mar 2017,34.75,20.1,14.65,Version difference
Tata Motors Ltd,Mar 2018,28.75,20.1,8.65,Formula discrepancy
Tata Motors Ltd,Mar 2019,29.01,20.1,8.91,Formula discrepancy
Tata Motors Ltd,Mar 2021,28.29,20.1,8.19,Formula discrepancy
Tata Motors Ltd,Mar 2022,25.94,20.1,5.84,Formula discrepancy
Tata Motors Ltd,Mar 2023,31.59,20.1,11.49,Version difference
Tata Motors Ltd,Mar 2024,45.17,20.1,25.07,Data source issue
"Tata Power Company Ltd
",Mar 2014,18.35,11.1,7.25,Formula discrepancy
"Tata Power Company Ltd
",Mar 2024,16.88,11.1,5.78,Formula discrepancy
"Tata Steel Ltd
",Mar 2014,18.03,7.02,11.01,Version difference
"Tata Steel Ltd
",Mar 2017,15.57,7.02,8.55,Formula discrepancy
"Tata Steel Ltd
",Mar 2018,17.76,7.02,10.74,Version difference
"Tata Steel Ltd
",Mar 2019,21.6,7.02,14.58,Version difference
"Tata Steel Ltd
",Mar 2020,13.64,7.02,6.62,Formula discrepancy
"Tata Steel Ltd
",Mar 2021,24.42,7.02,17.4,Version difference
"Tata Steel Ltd
",Mar 2022,38.2,7.02,31.18,Data source issue
"Tata Steel Ltd
",Mar 2023,22.15,7.02,15.13,Version difference
"Tata Steel Ltd
",Mar 2024,17.94,7.02,10.92,Version difference
Tata Consultancy Services Ltd,Mar 2013,49.18,64.3,15.12,Version difference
Tata Consultancy Services Ltd,Mar 2014,53.55,64.3,10.75,Version difference
Tata Consultancy Services Ltd,Mar 2015,51.54,64.3,12.76,Version difference
Tata Consultancy Services Ltd,Mar 2016,45.66,64.3,18.64,Version difference
Tata Consultancy Services Ltd,Mar 2017,39.65,64.3,24.65,Data source issue
Tata Consultancy Services Ltd,Mar 2018,40.45,64.3,23.85,Data source issue
Tata Consultancy Services Ltd,Mar 2019,46.43,64.3,17.87,Version difference
Tata Consultancy Services Ltd,Mar 2020,49.45,64.3,14.85,Version difference
Tata Consultancy Services Ltd,Mar 2021,53.71,64.3,10.59,Version difference
Tata Consultancy Services Ltd,Mar 2024,70.33,64.3,6.03,Formula discrepancy
Tech Mahindra Ltd,Mar 2013,23.83,11.9,11.93,Version difference
Tech Mahindra Ltd,Mar 2013,23.83,11.9,11.93,Version difference
Tech Mahindra Ltd,Mar 2014,49.18,11.9,37.28,Data source issue
Tech Mahindra Ltd,Mar 2014,49.18,11.9,37.28,Data source issue
Tech Mahindra Ltd,Mar 2015,37.1,11.9,25.2,Data source issue
Tech Mahindra Ltd,Mar 2015,37.1,11.9,25.2,Data source issue
Tech Mahindra Ltd,Mar 2016,32.0,11.9,20.1,Data source issue
Tech Mahindra Ltd,Mar 2016,32.0,11.9,20.1,Data source issue
Tech Mahindra Ltd,Mar 2017,29.0,11.9,17.1,Version difference
Tech Mahindra Ltd,Mar 2017,29.0,11.9,17.1,Version difference
Tech Mahindra Ltd,Mar 2018,27.28,11.9,15.38,Version difference
Tech Mahindra Ltd,Mar 2018,27.28,11.9,15.38,Version difference
Tech Mahindra Ltd,Mar 2019,33.21,11.9,21.31,Data source issue
Tech Mahindra Ltd,Mar 2019,33.21,11.9,21.31,Data source issue
Tech Mahindra Ltd,Mar 2020,27.27,11.9,15.37,Version difference
Tech Mahindra Ltd,Mar 2020,27.27,11.9,15.37,Version difference
Tech Mahindra Ltd,Mar 2021,29.73,11.9,17.83,Version difference
Tech Mahindra Ltd,Mar 2021,29.73,11.9,17.83,Version difference
Tech Mahindra Ltd,Mar 2022,32.33,11.9,20.43,Data source issue
Tech Mahindra Ltd,Mar 2022,32.33,11.9,20.43,Data source issue
Tech Mahindra Ltd,Mar 2023,31.7,11.9,19.8,Version difference
Tech Mahindra Ltd,Mar 2023,31.7,11.9,19.8,Version difference
Tech Mahindra Ltd,Mar 2024,21.65,11.9,9.75,Formula discrepancy
Tech Mahindra Ltd,Mar 2024,21.65,11.9,9.75,Formula discrepancy
"Titan Company Ltd
",Mar 2013,54.31,22.7,31.61,Data source issue
"Titan Company Ltd
",Mar 2014,33.48,22.7,10.78,Version difference
"Titan Company Ltd
",Mar 2015,39.04,22.7,16.34,Version difference
"Titan Company Ltd
",Mar 2016,28.65,22.7,5.95,Formula discrepancy
"Titan Company Ltd
",Mar 2021,15.99,22.7,6.71,Formula discrepancy
Torrent Pharmaceuticals Ltd,Mar 2013,36.88,23.2,13.68,Version difference
Torrent Pharmaceuticals Ltd,Mar 2014,34.33,23.2,11.13,Version difference
Torrent Pharmaceuticals Ltd,Mar 2016,50.82,23.2,27.62,Data source issue
Torrent Pharmaceuticals Ltd,Mar 2018,15.86,23.2,7.34,Formula discrepancy
Torrent Pharmaceuticals Ltd,Mar 2021,29.29,23.2,6.09,Formula discrepancy
Torrent Pharmaceuticals Ltd,Mar 2022,30.86,23.2,7.66,Formula discrepancy
Torrent Pharmaceuticals Ltd,Mar 2023,30.68,23.2,7.48,Formula discrepancy
Torrent Pharmaceuticals Ltd,Mar 2024,38.39,23.2,15.19,Version difference
Trent Ltd,Mar 2013,3.18,23.8,20.62,Data source issue
Trent Ltd,Mar 2014,3.33,23.8,20.47,Data source issue
Trent Ltd,Mar 2015,9.65,23.8,14.15,Version difference
Trent Ltd,Mar 2016,6.92,23.8,16.88,Version difference
Trent Ltd,Mar 2017,9.03,23.8,14.77,Version difference
Trent Ltd,Mar 2018,12.79,23.8,11.01,Version difference
Trent Ltd,Mar 2019,13.69,23.8,10.11,Version difference
Trent Ltd,Mar 2020,28.87,23.8,5.07,Formula discrepancy
Trent Ltd,Mar 2021,14.2,23.8,9.6,Formula discrepancy
Trent Ltd,Mar 2022,12.78,23.8,11.02,Version difference
Trent Ltd,Mar 2024,45.39,23.8,21.59,Data source issue
Interglobe Aviation Ltd,Mar 2013,54766.23,24.5,54741.73,Data source issue
Interglobe Aviation Ltd,Mar 2014,59293.48,24.5,59268.98,Data source issue
Interglobe Aviation Ltd,Mar 2015,40539.47,24.5,40514.97,Data source issue
Interglobe Aviation Ltd,Mar 2016,9811.5,24.5,9787.0,Data source issue
Interglobe Aviation Ltd,Mar 2017,11212.67,24.5,11188.17,Data source issue
Interglobe Aviation Ltd,Mar 2018,13264.94,24.5,13240.44,Data source issue
Interglobe Aviation Ltd,Mar 2019,13552.07,24.5,13527.57,Data source issue
Interglobe Aviation Ltd,Mar 2020,14039.76,24.5,14015.26,Data source issue
Interglobe Aviation Ltd,Mar 2021,3374.69,24.5,3350.19,Data source issue
Interglobe Aviation Ltd,Mar 2022,4598.34,24.5,4573.84,Data source issue
Interglobe Aviation Ltd,Mar 2023,6720.79,24.5,6696.29,Data source issue
Interglobe Aviation Ltd,Mar 2024,6328.22,24.5,6303.72,Data source issue
