company_id,year
DIVISLAB,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
DLF,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
DMART,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
DRREDDY,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
EICHERMOT,"{'Mar 2019', 'Mar 2020', 'Mar 2024', 'Dec 2013', 'Dec 2012', 'Dec 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
GAIL,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
GODREJCP,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
GRASIM,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
HAL,"{'Mar 2020', 'Mar 2019', 'Mar 2024', 'Mar 2022', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
HAVELLS,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
HCLTECH,"{'Mar 2019', 'Mar 2020', 'Mar 2024', 'Jun 2015', 'Mar 2022', 'Mar 2016', 'Jun 2013', 'Mar 2017', 'Mar 2023', 'Jun 2014', 'Mar 2021', 'Mar 2018'}"
HDFCBANK,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
HDFCLIFE,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
HEROMOTOCO,"{'Mar 2015', 'Mar 2019', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
HINDALCO,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
HINDUNILVR,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ICICIBANK,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ICICIGI,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ICICIPRULI,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
INDIGO,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
INDUSINDBK,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
INFY,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
IOC,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
IRCTC,"{'Mar 2015', 'Mar 2019', 'Mar 2020', 'Mar 2024', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
IRFC,"{'Mar 2020', 'Mar 2019', 'Mar 2024', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ITC,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
JINDALSTEL,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
JIOFIN,"{'Mar 2024', 'Mar 2023'}"
JSWENERGY,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
JSWSTEEL,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
KOTAKBANK,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
LICI,"{'Mar 2020', 'Mar 2019', 'Mar 2024', 'Mar 2022', 'Mar 2023', 'Mar 2021'}"
LODHA,"{'Mar 2020', 'Mar 2019', 'Mar 2024', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
LT,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
LTIM,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
M&M,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
MARUTI,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
MOTHERSON,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
NAUKRI,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
NESTLEIND,"{'Mar 2024', 'Dec 2013', 'Dec 2015', 'Dec 2014', 'Dec 2018', 'Dec 2021', 'Dec 2023', 'Dec 2022', 'Dec 2019', 'Dec 2016', 'Dec 2020', 'Dec 2017'}"
NHPC,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
NTPC,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
ONGC,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
PFC,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
PIDILITIND,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
PNB,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
POWERGRID,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
RECLTD,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
RELIANCE,"{'Mar 2015', 'Mar 2019', 'Mar 2013', 'Mar 2020', 'Mar 2024', 'Mar 2014', 'Mar 2022', 'Mar 2016', 'Mar 2017', 'Mar 2023', 'Mar 2021', 'Mar 2018'}"
