id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,roce_percentage,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,cfo_pat_ratio,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,composite_quality_score,sector_relative_score,year_num,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,company_name,broad_sector,sub_sector
2340,ABB,Mar 2024,20.533424517011454,24.84185330825782,32.46823465801568,46.0,0.022438496891051634,141.75,1.1263238975544,797.0,7.112326893486067,565.0,176.14285714285714,73.0,83.0,1213.0,1.009991673605329,10.713721789385655,,9.716101277290168,,,,20.232437941096727,,21.69314043381163,,,,20.24167817921956,,21.65851677781967,,,,72.07,91.86,2024.0,,,,,Abbott India Ltd,Industrials,Capital Goods
2352,ADANIENSOL,Mar 2024,7.201782380923707,34.38911302462817,9.461276797721698,9.0,2.93252116130053,2.284784965666787,0.2836960606785336,1095.0,29.764557114469802,10.0,11.337219730941705,0.0,37070.0,6038.0,5.048494983277592,18.715011322879892,,17.85124994851739,,,,-2.4904490462308027,,16.42972571572392,,,,-3.1270693848535758,,14.869835499703509,,,,47.33,59.89,2024.0,,,,,Adani Energy Solutions Ltd,Energy,Power & Utilities
2365,ADANIENT,Mar 2024,3.458790097592848,11.799296833677312,8.534650424813185,11.6,1.671358378544375,2.7492864983534577,0.6004321671876751,-8455.0,19.463602327293845,28.0,342.7719298245614,5.0,65310.0,10312.0,3.0920539730134933,34.60338228109774,,19.015414753081238,,,,47.182006037517255,,45.81058899665285,,,,51.82944859378311,,31.95079107728942,,,,39.32,49.43,2024.0,,,,,Adani Enterprises Ltd,Industrials,Conglomerates
2374,ADANIGREEN,Mar 2024,13.665943600867678,79.3709327548807,12.812690665039659,96.5,6.595281675818589,1.713943268078306,0.10467043571055559,-13347.0,228.4164859002169,7.0,6.208333333333333,0.0,64858.0,7713.0,6.121428571428571,43.44099813858789,,34.976172926382844,,,,90.58982840512462,,,TURNAROUND,,,91.29311827723889,,,TURNAROUND,,,39.45,47.96,2024.0,,,,,Adani Green Energy Ltd,Energy,Renewable Energy
2387,ADANIPORTS,Mar 2024,30.339560480700833,58.36172363445772,15.3548827162833,12.9,0.9373223691689719,5.949506037321624,0.22830109659056916,8250.0,25.337875781513237,38.0,122.17129629629629,16.0,49470.0,15018.0,1.8531589338598222,28.631936311849437,,19.57867595245697,,,,17.084126579285687,,14.909565182041629,,,,14.977941578896626,,14.869835499703509,,,,63.21,80.38,2024.0,,,,,"Adani Ports & Special Economic Zone Ltd
",Industrials,Infrastructure
2400,ADANIPOWER,Mar 2024,41.36759945184802,36.20186292228556,48.27674122146251,32.2,0.8023177656738903,8.297225501770956,0.5472399439185297,17651.0,6.9134674584417395,54.0,11.186155042779362,0.0,34616.0,14170.0,0.6803015027125642,24.294797156226156,,16.086096410440966,,,,154.07088459944453,,,TURNAROUND,,,162.07413942088965,,,TURNAROUND,,,73.84,100.0,2024.0,,,,,Adani Power Ltd,Energy,Power & Utilities
2413,AMBUJACEM,Mar 2024,14.288299155609169,19.300361881785282,11.428984947896565,12.8,0.01686125048243921,28.264492753623188,0.5081135747230352,-3295.0,26.963208685162847,16.0,94.21818181818182,12.0,699.0,5646.0,1.1916420430561419,10.591471422496257,,4.952158000173124,,,,15.102458796546347,,9.769081298428105,,,,10.064241629820891,,7.781806771272581,,,,35.92,37.57,2024.0,,,,,Ambuja Cements Ltd,Materials,Cement
2426,APOLLOHOSP,Mar 2024,4.905818773282963,12.56099480560365,13.480392156862745,17.2,0.7688869665513264,5.565701559020044,1.1383944570541153,383.0,8.064431502177449,63.0,96.33333333333333,26.0,5333.0,1920.0,2.053475935828877,21.752736351876713,,14.660042602193135,,,,89.6838465061924,,36.13077689773863,,,,84.69147504478333,,29.95061094416296,,,,52.26,74.51,2024.0,,,,,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,Healthcare
2439,ASIANPAINT,Mar 2024,15.658543456824905,21.3692069305536,29.677488252883382,41.75,0.1321016659547202,41.00487804878049,1.187084044011906,3556.0,7.17847584166784,57.0,195.08333333333334,58.0,2474.0,6104.0,1.0982367758186398,17.801037676951047,,13.029660349453076,,,,20.117567163333238,,20.277362101955056,,,,19.983162620797668,,20.973552688431262,,,,69.45,82.2,2024.0,,,,,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings
2447,ATGL,Mar 2024,14.927374301675977,24.670391061452516,18.65921787709497,21.2,0.43491620111731844,10.504504504504505,0.6788531553398058,,,6.0,32.54545454545455,4.0,1557.0,,,38.18335427451367,,21.08864867789759,,,,12.99654305433795,,23.8762916927858,,,,14.471424255333186,,24.57309396155174,,,,43.86,54.64,2024.0,,,,,Adani Total Gas Ltd,Energy,Gas Distribution
